ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:35(_new_module)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:58(__init__)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:78(acquire)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:103(release)
5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:40(_relax_case)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:143(__init__)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:147(__enter__)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:151(__exit__)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:176(cb)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:157(_get_module_lock)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:211(_call_with_frames_removed)
31,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:222(_verbose_message)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:342(__init__)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:376(cached)
320,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:389(parent)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:397(has_location)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:477(_init_module_attrs)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:549(module_from_spec)
3,0.000,0.000,0.168,0.056,<frozen importlib._bootstrap>:650(_load_unlocked)
9,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:51(_unpack_uint32)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:725(find_spec)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:800(find_spec)
28,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:64(<listcomp>)
9,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:863(__enter__)
9,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:867(__exit__)
28,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:62(_path_join)
3,0.000,0.000,0.002,0.001,<frozen importlib._bootstrap>:890(_find_spec)
3,0.000,0.000,0.170,0.057,<frozen importlib._bootstrap>:956(_find_and_load_unlocked)
3,0.000,0.000,0.170,0.057,<frozen importlib._bootstrap>:986(_find_and_load)
77,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:1017(_handle_fromlist)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:68(_path_split)
11,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:80(_path_stat)
3,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:90(_path_is_mode_type)
3,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:99(_path_isfile)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:294(cache_from_source)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:424(_get_cached)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:456(_check_name_wrapper)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:493(_classify_pyc)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:578(_compile_bytecode)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:629(spec_from_file_location)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:774(create_module)
3,0.000,0.000,0.168,0.056,<frozen importlib._bootstrap_external>:777(exec_module)
3,0.000,0.000,0.167,0.056,<frozen importlib._bootstrap_external>:849(get_code)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:939(__init__)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:964(get_filename)
3,0.000,0.000,0.167,0.056,<frozen importlib._bootstrap_external>:969(get_data)
3,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1010(path_stats)
6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1265(_path_importer_cache)
